Coin;Name; Price ;Amount;Total value;Portfolio %; Buy price ; Value (1/1/2018) ;Profit;Exchange;Prediction;Predicted value;Amount 01/01/2017;Value 01/01/2017;Total 01/01/2017;;;;;;;
QSP;Quantumstamp; $0,067 ;2880; $192,96 ;0%; $0,520 ; $1.497,60 ;-87%;binance; $0,50 ; $1.440,00 ;0;;;;;;;;;
POWER;Powerledger; $0,310 ;1121; $347,51 ;1%; $1,370 ; $1.535,77 ;-77%;binance; $1,00 ; $1.121,00 ;0;;;;;;;;;
RDD;Reddcoin; $0,004 ;161000; $644,00 ;2%; $0,010 ; $1.610,00 ;-60%;Wallet; $0,01 ; $1.610,00 ;0;;;;;;;;;
RDD;Reddcoin; $0,004 ;3000; $12,00 ;0%; $0,011 ; $33,00 ;-64%;Wallet; $0,01 ; $30,00 ;0;;;;;;;;;
BDG;Bitdegree; $0,011 ;22105; $243,16 ;1%; $0,070 ; $1.547,35 ;-84%;; $0,05 ; $1.105,25 ;0;;;;;;;;;
FUN;Funfair; $0,025 ;1169; $29,23 ;0%; $0,120 ; $140,37 ;-79%;; $0,10 ; $116,90 ;;;;;;;;;;
DECR;Decred; $76,000 ;1,2; $91,20 ;0%; $86,000 ; $103,20 ;-12%;wallet; $100,00 ; $120,00 ;0;;;;;;;;;
UTK;UTRUST; $0,072 ;4269; $307,37 ;1%; $0,700 ; $2.988,30 ;-90%;kucoin; $0,75 ; $3.201,75 ;0;;;;;;;;;
ETH;Ether; $501,000 ;0; $-   ;0%; $633,660 ; $-   ;-21%;wallet; $1.000,00 ; $-   ;0;;;;;;;;;
cV;CarVertical; $0,002 ;300000; $450,00 ;1%; $0,003 ; $1.043,40 ;-57%;wallet; $0,01 ; $3.000,00 ;0;;;;;;;;;
RPX;RedPulse; $0,037 ;750; $27,75 ;0%; $0,45 ; $337,50 ;-92%;kucoin; $0,50 ; $375,00 ;0;;;;;;;;;
TNC;Trinity; $0,025 ;927; $23,18 ;0%; $0,29 ; $268,83 ;-91%;Binance; $0,50 ; $463,50 ;0;;;;;;;;;
XRP;Ripple; $0,460 ;709; $326,14 ;1%; $1,33 ; $942,97 ;-65%;Binance; $2,50 ; $1.772,50 ;0;;;;;;;;;
XRP;Ripple; $0,460 ;5001; $2.300,46 ;6%; $0,88 ; $4.400,88 ;-48%;Binance; $2,50 ; $12.502,50 ;0;;;;;;;;;
XVG;Verge; $0,023 ;2995;68,885;0,001650311; $0,13 ; $389,35 ;-82%;Binance; $0,12 ; $359,40 ;0;;;;;;;;;
SETH;Sether; $0,140 ;613;85,82;0,002056031; $0,34 ; $208,42 ;-59%;Binance; $0,50 ; $306,50 ;0;;;;;;;;;
MTN;Medichain; $0,054 ;2084;112,536;0,002696079; $0,23 ; $479,32 ;-77%;Binance; $0,60 ; $1.250,40 ;0;;;;;;;;;
ZRX;0x; $1,800 ;0;0;0; $0,97 ; $-   ;86%;Binance; $1,50 ; $-   ;;;;;;;;;;
VIU;Viuly; $0,002 ;34;0,068;1,62911E-06; $0,02 ; $0,82 ;-92%;Binance; $0,10 ; $3,40 ;;;;;;;;;;
REQ;Request Network; $0,072 ;1224;88,128;0,002111325; $0,35 ; $428,40 ;-79%;Binance; $1,00 ; $1.224,00 ;;;;;;;;;;
VIBE;Vibe; $0,070 ;740;51,8;0,001240998; $0,59 ; $436,60 ;-88%;Binance; $1,00 ; $740,00 ;;;;;;;;;;
DEB;Debitum; $0,025 ;3425;85,625;0,002051359; $0,06 ; $219,20 ;-61%;wallet; $0,16 ; $548,00 ;;;;;;;;;;
BOBx;;;1500;0;0;; $-   ;#DIV/0!;wallet; $0,16 ; $240,00 ;;;;;;;;;;
VIN;;;7,77;0;0;; $-   ;#DIV/0!;wallet; $0,16 ; $1,24 ;;;;;;;;;;
BNB;; $12,270 ;1,3;15,951;0,000382146;; $-   ;#DIV/0!;wallet; $0,16 ; $0,21 ;;;;;;;;;;
TRX;TRON; $0,036 ;4566;164,376;0,003938035; $0,04 ; $196,34 ;-16%;wallet; $0,10 ; $456,60 ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;; $41.740,61 ;;; $75.857,50 ;-45%;;; $154.002,80 ;;;;;;;;;;
$ -> €; $0,85 ;;; € 35.479,52 ;;; $64.478,88 ;;;; € 130.902,38 ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Altcoins BTC; $1,40 ;;Without BTC; $12.121,55 ;;; $29.612,69 ;-59%;;;;;;;;;;;;;
Total BTC; $2,40 ;;;;;;;;;;;;;;;;;;;;
